id,Russian,English,orthography,transcription,prs,form2,form3,pos,additional_forms,kk,jena200,gld110,def_RU,context
1,ЗЕМЛЯ (ПОВЕРХНОСТЬ),GROUND,гӀунщи,ʕunšːi,,гӀунщил,"гӀунщибади, гӀунщалди",n,,0,0,0,Твёрдая поверхность земли; отличать от земли как материала и от почвы.,"Животные обитают на земле, рыбы — в воде. - Рух1ч1аголъирди г1умругирахе г1унщила, ччуг1иби- лъинл1и."
2,ЗЕМЛЯ (ПОЧВА),EARTH,гӀунщи,ʕunšːi,,гӀунщил,-,n,,422,37,21,"Земля как почва (собственно слово ‘почва’ не подходит как профессионально маркированный или «научный» термин). Отличать от поверхности земли (‘ground’), от суши (‘land’) и т. п. Отличать от конкретизированных типов почвы: ‘красная земля’, ‘черная земля’, ‘глинистая земля’ и т. п. Те же контексты, что и в №71 ‘песок’.","1. Он рыл яму и выбрасывал наружу землю. 2. Он взял в горсть земли. 3. Я не знаю, что на том участке: земля или песок. 1.Вудищуд бухъида бук1а габда, къот1и щобда бук1а г1унщи. 2. Вудищуд хъабтенди г1унщи бигьи. 3. Диба биг1идеч1и, чуб эбк1ола вудиб мак1ала: г1унщичи, саличи."
3,ПЫЛЬ,DUST,хӀури,ħuri,,хӀурил,-,n,,425,35,0,"Мелкие частицы твёрдого материала. В CoBL используется базовый концепт «дорожной пыли»; в дагестанском контексте предпочтительнее говорить о пыли в помещениях. Для совместимости включаются оба контекста, однако в случае использования разных слов предпочтение нужно отдавать значению ‘пыль в помещениях’.",1. Стол в дедушкиной комнате покрылся пылью. 2. При ходьбе по сухой земле вверх поднимается пыль. - 1. Имададащуб мисалъиник1уб устул х1урил бец1и. Бекъуб г1унщила арахъиба бел1ала гьалуба х1ури гьерц1иде.
4,ГРЯЗЬ,MUD,хӀари,ħari,,хӀарил,хӀарибади,n,,426,0,0,"Дорожная грязь, остающаяся на одежде.","Когда я пришёл домой, я счистил грязь с ботинок. - Къелар вохьабкъол1и, динди гьедац1ц1инк1игьи хьитабалагиба (ботинкадалагиба) х1ари."
5,ПЕСОК,SAND,сали,sali,,салил,салибади,n,,423,133,71,"Наиболее общее слово для материала, состоящего из мелких частиц минералов, ракушек, камней и т.д., различимых невооружённым глазом. Избегать терминов для специальных видов или цветов песка. Избегать слов для ‘пыли’, ‘грязи’ и относящиеся к типу почвы, а не к самому материалу. Не использовать слов для ‘пляжа’. (CoBL)","1. Она просыпала песок сквозь руки. (CoBL) 2. Он взял в горсть песка. (GLD) 3. Я не знаю, что на том участке: земля или песок. (GLD) - 1) Вудилъид сали рельибач1 бакьихъадуба эти. 2. Вудищуд хъатили г1унщи бигьи. Диба биг1идеч1и, чуб эбк1ола вудиб мак1ала: г1унщичи, саличи."
6,ГОРА,MOUNTAIN,беса,besa,,бесал,бесабади,n,,405,104,56,"Наиболее общее существительное для существенного повышения ландшафта, как правило, с крутыми склонами. Избегать терминов для отдельных типов гор; меньших возвышений (‘холм’, ‘курган’); частей горы (‘вершина’). (CoBL)Если есть особое наречие ‘в горах’ или специальное выражение для гор «вообще», вводить их как неосновные синонимы.","1. В Дагестане есть равнина и много гор. 2. На эту гору подниматься целый день. (GLD) - Дагъистанлъила авлахъ,байданльири эгу, саругу бесабадил эгу. Гьаб бесалъилар т1убелуб зобилъид ххардак1а."
7,ХОЛМ,HILL,гьангъу,hanʁu,,гьангъул,гьангъубади,n,,408,0,0,"Возвышение земли меньшей высоты, чем гора. Поскольку специальное слово для холма присутствует не во всех языках, его заполнение факультативно. Включается в базу для совместимости с КК.","1. Холм ниже горы. 2. На равнине нет гор, но бывают холмы. -1. Гьангъу бесач1 мук1уб эгу. 2. Бейданльирила (авлахълъила) бесабади гьач1и, амма гьангъубади рук1удак1а."
8,СОЛНЕЧНЫЙ СКЛОН ГОРЫ,SUNNY SLOPE,милъилъири,miɬiɬiri,,милъилъирил,милъилъирди,n,,406,0,0,"Часть горного склона, не находящаяся в тени более высоких гор. Базовое понятие в дагестанских языках, часто выражаемое непроизводными локативными именами.","1. На солнечной стороне трава высыхает быстро, на теневой — дольше. 2. Трава Х растёт только на солнечной стороне. -1. Милъигьарх ссолуб г1есинлъила (милъилъирила)  жуми паркъа бекъудак1а, г1анччолакьирхнаслъила (миччилъирила?) - кьанихъ заманалъид.  Гьималал жуми цегицеб милъилъирила щардак1а. (Репея трава)"
9,ТЕНЕВОЙ СКЛОН ГОРЫ,SHADY SLOPE,миччилъири,mičːiɬiri,,миччилъирил,миччилъирди,n,,407,0,0,"Часть горного склона, находящаяся в тени более высоких гор. Базовое понятие в дагестанских языках, часто выражаемое непроизводными локативными именами.","1. На солнечной стороне трава высыхает быстро, на теневой — дольше. 2. Трава Х растёт только на теневой стороне. -1. Милъигьарх ссолуб г1есинлъила (милъилъирила)  жуми паркъа бекъудак1а, г1анччолакьирхнаслъила (миччилъирила) - кьанихъ заманалъид."
10,СКАЛА,CLIFF,кьури,ʟʼuri,,кьурил,кьураби,n,,409,0,0,Близкий к вертикальному склон горы.,Корова заблудилась и упала с края скалы. -Зюв микъил къосибах кьурил рег1иллъилагиба т1алибах муа.
11,РАВНИНА,LOWLAND,лъарагӀлъири,ɬaraʕɬiri,,лъарагӀлъирил,лъарагӀлъирди,n,,0,0,0,"Местность невысоко над уровнем моря, в противовес “горам”. В Дагестане — участок суши вдоль Каспийского моря.",1. Мой сын уехал жить на равнину. 2. У нашего селения есть пастбища на равнине. 3. Мы собрались на поляне (на ровном месте). - Див вохья вуа г1умру гигьеду лъараг1лъирилар. 2. Ищиб гьанилъил1е хъутанди эгу лъараг1лъирила.
11,РАВНИНА,LOWLAND,байданлъири,bajdanɬiri,,байданлъирил,байданлъирди,n,,0,0,0,"Местность невысоко над уровнем моря, в противовес “горам”. В Дагестане — участок суши вдоль Каспийского моря.",1. Мой сын уехал жить на равнину. 2. У нашего селения есть пастбища на равнине. 3. Мы собрались на поляне (на ровном месте). - Див вохья вуа г1умру гигьеду лъараг1лъирилар. 2. Ищиб гьанилъил1е хъутанди эгу лъараг1лъирила.
12,ДОЛИНА,VALLEY,бейдан,bejdan,,бейданлъил,бейданди,n,,0,0,0,"Низменность между двумя горами; как правило, область, где протекает река.",Долина находится между горами.  - Авлахъ (байдан) бесабадач1 бакьихъ эгу.
12,ДОЛИНА,VALLEY,гӀалах,ʕalaχ,,гӀалахлъил,гӀалахди,n,,0,0,0,"Низменность между двумя горами; как правило, область, где протекает река.",Долина находится между горами.  - Авлахъ (байдан) бесабадач1 бакьихъ эгу.
13,ПЕЩЕРА,CAVE,речӀчӀа,rečʼːa,,речӀчӀал,речӀчӀабади,n,речӀчӀеникӀубе гӀадамади - люди в пещере,410,0,0,"Естественное подземное пространство, обычно связанное с поверхностное и достаточно большое, чтобы человек мог в него войти.","1. Во время дождя мы укрылись в пещере. 2. Раньше люди жили не в домах, а в пещерах.- Ц1ц1ой ч1ордукъол1и ищи реч1ч1ени эби. 2. Ссе заманалъид г1адамади г1умругигьибах бук1у мисалдени гьач1уб реч1ч1абадахъ."
14,ВОДА,WATER,лълъим,ɬːin,,лълъинлӀил,лълъинди,n,,430,188,93,"Пресная вода, пригодная для питья. Отличать от специализированных терминов: ‘морская вода’, ‘загнившая вода’, ‘текущая вода’ (= струя, родник, ручей) и т. п. (GLD)",1. Человек не может жить без воды. (GLD) 2. Он пьет воду. (GLD) 3. Она набрала в сосуд воды. (GLD) - Г1адамиба лъим гьач1и г1умру гигье гиндеч1и. 2. Вудищуд лъим ц1ц1ардегу. 3. Вудилъид лъим бец1и.
15,МОРЕ,SEA,релъа,reɬa,,релъадал,релъабади,n,,415,136,0,"Самое общее слово для крупной массы солёной воды. Избегать слов для его частей, например, ‘бухта’, ‘залив’ и т.д. Не использовать скорее картографических терминов, как, например, ‘океан’. (CoBL)",1. Река спускается с гор и впадает в море. 2. Морская вода — солёная. - 1. Гьерсса  бесалагиба кекьир релъадал1ир чваххиде. 2.Релъадал лъим ч1уг1аб эгу.
16,ПЕНА,FOAM,пала,pala,,палалъил,-,n,,438,0,0,"Пузырьки воздуха, образующиеся на бурной воде. Если для мыльной пены существует другой термин, использовать слово для бурной воды. Отличать от пены на мясе, пены на лошади.",В бурной реке у камней пена. - Гьалагисс  гьерссал1е г1анчибала пала эгу.
17,ОЗЕРО,LAKE,игьур,ihur,,игьурал,игьурди,n,,414,89,0,"Закрытый пресноводный водоём, не соединённый с морем.","1. В озеро впадает река, а в болото — нет. 2. Озеро меньше моря. - Игьурал1ир гьерсса чваххиде, амма хьяц1ц1ул1ир гьач1и."
